year,stint_x,tmID,GP_x,GS,minutes,points,fgAttempted,ftAttempted,fg_percentage,ft_percentage,three_percentage,true_shooting_percentage,rebounds_per_minute,steals_per_minute,blocks_per_minute,assists_per_minute,assist_turnover_ratio,effective_fg_percentage_player,free_throw_rate_player,height,weight,awardPointsPlayers,GP_y,won_x,lost_x,win_percentage,effective_fg_percentage,turnover_percentage,free_throw_factor,rebounding_factor,points_per_game,points_allowed_per_game,playoff,stint_y,awardPointsCoaches
2,0,MIN,26,23,846,343,293,132,0.3890784982935154,0.7272727272727273,0.25,0.4884926512475789,0.20567375886524822,0.04964539007092199,0.010638297872340425,0.06264775413711583,0.6235294117647059,0.42150170648464164,0.7272727272727273,74.0,169,0.0,32,12,20,0.375,0.4193370165745856,0.19227268590151997,0.7689133425034388,0.987983274921429,64.90625,67.375,0,0,0.0
3,0,MIN,27,27,805,314,316,116,0.37658227848101267,0.4827586206896552,0.3333333333333333,0.42774629468177855,0.1813664596273292,0.05217391304347826,0.012422360248447204,0.07453416149068323,0.6521739130434783,0.40822784810126583,0.4827586206896552,74.0,169,0.0,32,10,22,0.3125,0.4563380281690141,0.20677632196128712,0.6626297577854672,1.0182779952371828,62.59375,65.75,0,1,0.0
3,0,MIN,27,27,805,314,316,116,0.37658227848101267,0.4827586206896552,0.3333333333333333,0.42774629468177855,0.1813664596273292,0.05217391304347826,0.012422360248447204,0.07453416149068323,0.6521739130434783,0.40822784810126583,0.4827586206896552,74.0,169,0.0,32,10,22,0.3125,0.4563380281690141,0.20677632196128712,0.6626297577854672,1.0182779952371828,62.59375,65.75,0,2,0.0
4,0,MIN,30,25,792,318,285,98,0.3929824561403509,0.7040816326530612,0.3048780487804878,0.4845788126295258,0.17803030303030304,0.05555555555555555,0.013888888888888888,0.10353535353535354,0.9111111111111111,0.4368421052631579,0.7040816326530612,74.0,169,0.0,34,18,16,0.5294117647058824,0.4878665318503539,0.19853694637367642,0.7211538461538461,1.0369359464403514,70.0,69.70588235294117,1,0,0.0
5,0,MIN,22,11,462,146,139,46,0.35251798561151076,0.6086956521739131,0.37735849056603776,0.458427530771163,0.16017316017316016,0.06493506493506493,0.004329004329004329,0.09740259740259741,1.0465116279069768,0.4244604316546763,0.6086956521739131,74.0,169,0.0,34,18,16,0.5294117647058824,0.45026315789473687,0.21935160667000644,0.709375,1.0092028717273778,63.6764705882353,64.41176470588235,1,0,10.0
6,0,MIN,31,31,777,304,276,73,0.39492753623188404,0.726027397260274,0.4024390243902439,0.49331429313254577,0.1377091377091377,0.06177606177606178,0.007722007722007722,0.07722007722007722,0.75,0.45471014492753625,0.726027397260274,74.0,169,0.0,34,14,20,0.4117647058823529,0.45580678314491263,0.19516173664817,0.7271214642262895,0.9787891483751511,65.02941176470588,67.29411764705883,0,0,0.0
7,0,MIN,34,2,724,263,241,62,0.4107883817427386,0.6612903225806451,0.36923076923076925,0.4901595348143731,0.1464088397790055,0.04696132596685083,0.0013812154696132596,0.07458563535911603,0.8852459016393442,0.4605809128630705,0.6612903225806451,74.0,169,0.0,34,10,24,0.29411764705882354,0.46087743102668477,0.1743054093874974,0.7121879588839941,0.9737758584662534,74.20588235294117,80.44117647058823,0,2,0.0
7,0,MIN,34,2,724,263,241,62,0.4107883817427386,0.6612903225806451,0.36923076923076925,0.4901595348143731,0.1464088397790055,0.04696132596685083,0.0013812154696132596,0.07458563535911603,0.8852459016393442,0.4605809128630705,0.6612903225806451,74.0,169,0.0,34,10,24,0.29411764705882354,0.46087743102668477,0.1743054093874974,0.7121879588839941,0.9737758584662534,74.20588235294117,80.44117647058823,0,1,0.0
8,0,MIN,34,29,843,345,298,43,0.4429530201342282,0.8372093023255814,0.44554455445544555,0.5443014009844755,0.17793594306049823,0.05219454329774614,0.004744958481613286,0.10083036773428232,1.25,0.5184563758389261,0.8372093023255814,74.0,169,0.0,34,10,24,0.29411764705882354,0.4469214437367304,0.17462708867694302,0.787833827893175,1.0433578658038265,77.52941176470588,80.94117647058823,0,0,0.0
9,0,CON,6,0,107,34,36,12,0.3055555555555556,0.8333333333333334,0.16666666666666666,0.4118217054263566,0.18691588785046728,0.07476635514018691,0.0,0.11214953271028037,1.0909090909090908,0.3333333333333333,0.8333333333333334,74.0,169,0.0,34,21,13,0.6176470588235294,0.4704724409448819,0.15754807319029995,0.7455048409405256,1.012864049923004,79.11764705882354,74.73529411764706,1,0,10.0
