tmID,points,fgAttempted,ftAttempted,fg_percentage,ft_percentage,three_percentage,true_shooting_percentage,rebounds_per_minute,steals_per_minute,blocks_per_minute,assists_per_minute,assist_turnover_ratio,effective_fg_percentage,playoffs_percentage
ATL,13039.0,11188.0,3547.0,0.43301412991588084,0.7069404876886127,0.24566596345149355,0.5037440112827132,0.18429832539021662,0.03938447723787925,0.01780864731546805,0.07458333402930113,1.0002064052572073,0.4648924956039118,0.5
CHI,8269.0,7381.0,2594.0,0.3789780529855785,0.7300308097096103,0.22250192667007723,0.46847635337409926,0.1372241121696798,0.03581670134679268,0.013497056366075713,0.08366643957933509,1.3041666534769019,0.41893632489734295,0.0
CON,11187.0,9662.0,3098.0,0.41112636992770396,0.7596437313676968,0.28242444019701696,0.49904914172202414,0.1523721250725566,0.034875141977768025,0.014636928743739243,0.08207095006045041,1.1192692871314025,0.4473470877783228,0.86
DET,48144.0,40114.0,13958.0,0.42259565700086715,0.7591045224513324,0.21707477531111935,0.5097830707323003,0.17440032759436278,0.03710325990211608,0.019355570199420864,0.07178149314426781,0.9770852905826798,0.4568504957448533,0.7
IND,18829.0,15115.0,6076.0,0.42431616356052254,0.7474587569087248,0.19874401559751945,0.5143050511677554,0.176400912881693,0.048720020220281095,0.02306931994277427,0.07162417862720988,1.0187119582027415,0.45833269284676464,0.6
LAS,20028.0,17000.0,5583.0,0.4208403777000441,0.7549264026579917,0.30187366102775415,0.5059494263137579,0.18512428366067427,0.03930283928588737,0.028819601444051532,0.07713532150644824,0.9332600002792043,0.4588632709228572,0.9
MIN,7473.0,6209.0,1850.0,0.4224412868633717,0.7831128157143412,0.29552191288435725,0.5106180709997017,0.16026152660792153,0.03496762574905165,0.017882843472494494,0.06918050914926442,1.1505342930696012,0.46640973816540865,0.2
NYL,13310.0,11502.0,3350.0,0.40648806994312,0.7359936077904338,0.24556962519423148,0.501029314360613,0.16506034833672487,0.04069710918204792,0.018069068224270766,0.06895258043914433,0.9073514226758368,0.4570311746726193,0.7
PHO,19017.0,15880.0,4736.0,0.423755232875966,0.7794243099196433,0.2450745120799196,0.513564289332627,0.16366020506535964,0.03874335660194893,0.020852680644665993,0.0858140850783635,1.178942943263016,0.4664649530895154,0.3
SAC,23278.0,20496.0,6944.0,0.3995667990732996,0.70651879634071,0.23563226189767478,0.48405986881197677,0.15287441688035225,0.050086228587278195,0.012926508394441963,0.08558210154060215,1.1175678688141688,0.4365128850576544,0.8
SAS,13237.0,10906.0,3397.0,0.42504861857469484,0.8014101204949559,0.2921053314570862,0.5255949600004801,0.13890405085473204,0.03802446439459834,0.017793744477732992,0.08983928316618062,1.2212872164690274,0.4746723161514529,0.43
SEA,16654.0,13540.0,5147.0,0.41542397754075966,0.7218365282871557,0.24934262509662522,0.4998648712104004,0.16513181943825234,0.037614032800497126,0.028391856360583705,0.08680927722278006,1.0912363246577435,0.4485612136021346,0.7
WAS,10507.0,8707.0,3612.0,0.4311367754937021,0.7079899872776816,0.2212893490914214,0.5024079681075008,0.17383805005220762,0.037293376331230275,0.016769143098317237,0.06935841724682916,0.95921667927442,0.4517553627395273,0.5
